filename	measure	score
PMC4754297.txt	automated_readability_index	20.0
PMC4754297.txt	coleman_liau_index	16.77
PMC4754298.txt	flesch_reading_ease	18.89
PMC4754298.txt	gunning_fog	18.19
PMC4754298.txt	automated_readability_index	23.5
PMC4754298.txt	coleman_liau_index	19.96
PMC4755959.txt	flesch_reading_ease	15.14
PMC4755959.txt	gunning_fog	18.98
PMC4755959.txt	automated_readability_index	23.2
PMC4755959.txt	coleman_liau_index	18.29
PMC4755960.txt	flesch_reading_ease	19.13
PMC4755960.txt	gunning_fog	19.8
PMC4755960.txt	automated_readability_index	24.2
PMC4755960.txt	coleman_liau_index	16.55
PMC4755961.txt	flesch_reading_ease	23.36
PMC4755961.txt	gunning_fog	16.82
PMC4755961.txt	automated_readability_index	19.0
PMC4755961.txt	coleman_liau_index	17.99
PMC4755962.txt	flesch_reading_ease	28.57
PMC4755962.txt	gunning_fog	14.5
PMC4755962.txt	automated_readability_index	19.0
PMC4755962.txt	coleman_liau_index	16.02
PMC4755963.txt	flesch_reading_ease	40.92
PMC4755963.txt	gunning_fog	15.96
PMC4755963.txt	automated_readability_index	19.5
PMC4755963.txt	coleman_liau_index	14.11
PMC4755964.txt	flesch_reading_ease	46.0
PMC4755964.txt	gunning_fog	14.56
PMC4755964.txt	automated_readability_index	17.0
PMC4755964.txt	coleman_liau_index	13.7
PMC4757597.txt	flesch_reading_ease	206.84
PMC4764608.txt	flesch_reading_ease	33.24
PMC4764608.txt	gunning_fog	16.34
PMC4764608.txt	automated_readability_index	19.1
PMC4764608.txt	coleman_liau_index	19.2
PMC4764609.txt	flesch_reading_ease	21.26
PMC4764609.txt	gunning_fog	18.82
PMC4764609.txt	automated_readability_index	23.0
PMC4764609.txt	coleman_liau_index	16.49
PMC4764610.txt	flesch_reading_ease	27.79
PMC4764610.txt	gunning_fog	16.82
PMC4764610.txt	automated_readability_index	23.6
PMC4764610.txt	coleman_liau_index	16.08
PMC4764611.txt	flesch_reading_ease	206.84
PMC4764612.txt	flesch_reading_ease	206.84
PMC4764613.txt	flesch_reading_ease	30.54
PMC4764613.txt	gunning_fog	18.22
PMC4764613.txt	automated_readability_index	21.0
PMC4764613.txt	coleman_liau_index	14.75
PMC4773375.txt	flesch_reading_ease	28.77
PMC4773375.txt	gunning_fog	16.72
PMC4773375.txt	automated_readability_index	19.1
PMC4773375.txt	coleman_liau_index	16.02
PMC4773376.txt	flesch_reading_ease	26.95
PMC4773376.txt	gunning_fog	17.82
PMC4773376.txt	automated_readability_index	20.6
PMC4773376.txt	coleman_liau_index	17.0
PMC4779096.txt	flesch_reading_ease	23.56
PMC4779096.txt	gunning_fog	16.68
PMC4779096.txt	automated_readability_index	18.2
PMC4779096.txt	coleman_liau_index	16.77
PMC4779109.txt	flesch_reading_ease	12.19
PMC4779109.txt	gunning_fog	17.15
PMC4779109.txt	automated_readability_index	22.2
PMC4779109.txt	coleman_liau_index	15.62
PMC4779111.txt	flesch_reading_ease	15.85
PMC4779111.txt	gunning_fog	16.53
PMC4779111.txt	automated_readability_index	22.1
PMC4779111.txt	coleman_liau_index	17.53
PMC4779453.txt	flesch_reading_ease	31.96
PMC4779453.txt	gunning_fog	16.98
PMC4779453.txt	automated_readability_index	21.3
PMC4779453.txt	coleman_liau_index	15.79
PMC4781812.txt	flesch_reading_ease	28.64
PMC4781812.txt	gunning_fog	15.27
PMC4781812.txt	automated_readability_index	16.4
PMC4781812.txt	coleman_liau_index	16.88
PMC4781813.txt	flesch_reading_ease	39.63
PMC4781813.txt	gunning_fog	11.56
PMC4781813.txt	automated_readability_index	13.7
PMC4781813.txt	coleman_liau_index	15.19
PMC4781814.txt	flesch_reading_ease	23.09
PMC4781814.txt	gunning_fog	19.91
PMC4781814.txt	automated_readability_index	22.8
PMC4781814.txt	coleman_liau_index	17.82
PMC4786556.txt	flesch_reading_ease	27.39
PMC4786556.txt	gunning_fog	19.62
PMC4786556.txt	automated_readability_index	22.3
PMC4786556.txt	coleman_liau_index	14.23
PMC4791420.txt	flesch_reading_ease	39.16
PMC4791420.txt	gunning_fog	14.67
PMC4791420.txt	automated_readability_index	17.9
PMC4791420.txt	coleman_liau_index	15.67
PMC4801843.txt	flesch_reading_ease	14.53
PMC4801843.txt	gunning_fog	20.36
PMC4801843.txt	automated_readability_index	24.0
PMC4801843.txt	coleman_liau_index	19.1
PMC4801844.txt	flesch_reading_ease	27.19
PMC4801844.txt	gunning_fog	19.28
PMC4801844.txt	automated_readability_index	23.3
PMC4801844.txt	coleman_liau_index	15.68
